iter	Passed	Remaining
0	297	297187
1	298	148936
2	299	99421
3	299	74650
4	300	59777
5	300	49862
6	301	42780
7	302	37462
8	302	33318
9	303	30002
10	303	27289
11	304	25029
12	304	23116
13	304	21477
14	305	20055
15	305	18811
16	306	17714
17	306	16739
18	307	15866
19	307	15080
20	308	14370
21	308	13724
22	309	13134
23	309	12593
24	310	12095
25	310	11635
26	311	11210
27	311	10814
28	311	10446
29	312	10103
30	312	9783
31	313	9482
32	313	9199
33	314	8933
34	314	8682
35	315	8444
36	315	8220
37	316	8007
38	316	7805
39	317	7614
40	317	7432
41	318	7259
42	318	7093
43	319	6935
44	319	6784
45	320	6639
46	320	6500
47	321	6368
48	321	6240
49	322	6118
50	322	6000
51	322	5887
52	323	5779
53	323	5674
54	324	5573
55	324	5476
56	325	5382
57	325	5291
58	326	5204
59	326	5119
60	327	5037
61	327	4957
62	328	4882
63	328	4808
64	329	4736
65	329	4666
66	330	4598
67	330	4529
68	330	4465
69	331	4402
70	331	4342
71	332	4283
72	332	4226
73	333	4170
74	333	4116
75	334	4063
76	334	4011
77	335	3961
78	335	3912
79	336	3864
80	336	3818
81	336	3772
82	337	3728
83	337	3684
84	338	3641
85	338	3600
86	339	3558
87	339	3520
88	340	3483
89	340	3446
90	341	3410
91	341	3375
92	342	3339
93	342	3304
94	343	3271
95	343	3238
96	344	3205
97	344	3173
98	345	3142
99	345	3111
100	346	3081
101	346	3050
102	346	3021
103	347	2992
104	347	2964
105	348	2937
106	348	2910
107	349	2884
108	349	2858
109	350	2833
110	350	2808
111	351	2783
112	351	2759
113	352	2736
114	352	2712
115	352	2689
116	353	2666
117	353	2644
118	354	2622
119	354	2600
120	355	2579
121	355	2559
122	355	2537
123	356	2517
124	356	2497
125	357	2477
126	357	2458
127	358	2439
128	358	2420
129	359	2402
130	359	2384
131	359	2367
132	360	2349
133	360	2332
134	361	2315
135	361	2298
136	362	2282
137	362	2265
138	363	2249
139	363	2233
140	364	2218
141	364	2202
142	365	2187
143	365	2172
144	365	2157
145	366	2143
146	366	2128
147	367	2114
148	367	2100
149	368	2087
150	368	2073
151	369	2059
152	369	2046
153	370	2033
154	370	2020
155	371	2007
156	371	1995
157	372	1982
158	372	1970
159	372	1958
160	373	1946
161	373	1934
162	374	1922
163	374	1911
164	375	1899
165	375	1888
166	376	1877
167	376	1866
168	377	1855
169	377	1844
170	378	1833
171	378	1823
172	379	1812
173	379	1802
174	380	1791
175	380	1781
176	381	1771
177	381	1761
178	381	1751
179	382	1742
180	382	1731
181	383	1721
182	383	1712
183	384	1703
184	384	1693
185	384	1684
186	385	1675
187	385	1666
188	386	1657
189	386	1649
190	387	1640
191	387	1631
192	388	1624
193	389	1616
194	389	1608
195	390	1600
196	390	1591
197	390	1583
198	391	1575
199	391	1567
200	392	1559
201	392	1552
202	393	1544
203	393	1536
204	394	1529
205	394	1521
206	395	1514
207	395	1506
208	396	1499
209	396	1492
210	397	1485
211	397	1478
212	398	1471
213	398	1464
214	399	1457
215	399	1450
216	400	1443
217	400	1436
218	401	1430
219	401	1423
220	402	1417
221	402	1410
222	403	1404
223	403	1397
224	404	1391
225	404	1385
226	404	1379
227	405	1372
228	405	1366
229	406	1360
230	406	1354
231	407	1348
232	407	1342
233	408	1336
234	408	1330
235	409	1325
236	409	1319
237	410	1313
238	410	1307
239	411	1302
240	411	1296
241	412	1291
242	412	1285
243	413	1280
244	413	1274
245	414	1269
246	414	1263
247	415	1258
248	415	1253
249	416	1248
250	416	1243
251	417	1238
252	417	1232
253	418	1228
254	418	1223
255	419	1218
256	419	1213
257	420	1208
258	420	1203
259	421	1198
260	421	1193
261	422	1188
262	422	1184
263	423	1179
264	423	1174
265	424	1170
266	424	1165
267	425	1161
268	425	1156
269	426	1152
270	426	1147
271	427	1142
272	427	1138
273	428	1134
274	428	1129
275	429	1125
276	429	1121
277	430	1116
278	430	1112
279	431	1108
280	431	1104
281	432	1100
282	432	1095
283	433	1091
284	433	1087
285	434	1083
286	434	1079
287	434	1075
288	435	1071
289	435	1067
290	436	1063
291	436	1059
292	437	1055
293	437	1051
294	438	1047
295	438	1043
296	439	1039
297	439	1035
298	440	1032
299	440	1028
300	441	1024
301	441	1020
302	442	1017
303	442	1013
304	443	1009
305	443	1006
306	444	1002
307	444	999
308	445	995
309	445	992
310	446	988
311	446	985
312	447	981
313	447	978
314	448	974
315	448	971
316	449	967
317	449	964
318	450	960
319	450	957
320	451	954
321	451	950
322	451	947
323	452	944
324	452	940
325	453	937
326	454	934
327	454	931
328	455	928
329	455	924
330	456	921
331	456	918
332	456	915
333	457	912
334	457	909
335	458	906
336	458	902
337	459	900
338	460	897
339	460	894
340	461	891
341	462	889
342	462	886
343	463	883
344	463	880
345	464	877
346	464	874
347	465	871
348	465	868
349	466	865
350	466	862
351	466	859
352	467	856
353	467	853
354	468	851
355	468	848
356	469	845
357	469	842
358	470	839
359	470	837
360	471	834
361	471	831
362	472	828
363	472	826
364	473	823
365	473	820
366	474	818
367	474	815
368	475	812
369	475	810
370	476	807
371	476	805
372	477	802
373	477	799
374	478	797
375	479	794
376	479	792
377	480	789
378	480	787
379	481	784
380	481	782
381	482	779
382	482	777
383	483	774
384	483	772
385	484	769
386	484	767
387	485	765
388	485	762
389	486	760
390	486	757
391	487	755
392	487	753
393	492	757
394	493	755
395	493	753
396	494	750
397	494	748
398	495	745
399	495	743
400	496	741
401	496	738
402	497	736
403	497	734
404	498	731
405	498	729
406	499	727
407	499	724
408	500	722
409	500	720
410	500	717
411	501	715
412	501	713
413	502	711
414	502	708
415	503	706
416	503	704
417	504	702
418	504	699
419	505	697
420	505	695
421	506	693
422	506	691
423	507	689
424	507	686
425	508	684
426	508	682
427	509	680
428	509	678
429	510	676
430	510	674
431	511	671
432	511	669
433	512	667
434	512	665
435	513	663
436	513	661
437	513	659
438	514	657
439	514	655
440	515	653
441	515	651
442	516	649
443	516	647
444	517	645
445	517	643
446	518	641
447	518	639
448	519	637
449	519	635
450	520	633
451	520	631
452	521	629
453	521	627
454	522	625
455	522	623
456	523	621
457	523	619
458	524	617
459	524	616
460	525	614
461	525	612
462	526	610
463	526	608
464	527	606
465	527	604
466	528	602
467	528	601
468	529	599
469	529	597
470	530	595
471	530	593
472	531	591
473	531	590
474	532	588
475	532	586
476	533	584
477	533	582
478	534	581
479	534	579
480	535	577
481	535	575
482	536	573
483	536	572
484	537	570
485	537	568
486	538	566
487	538	565
488	539	563
489	539	561
490	540	560
491	540	558
492	541	556
493	541	555
494	542	553
495	542	551
496	543	549
497	543	548
498	544	546
