iter	Passed	Remaining
0	140	140261
1	142	71198
2	145	48291
3	149	37128
4	150	30017
5	152	25217
6	153	21774
7	154	19172
8	155	17131
9	156	15498
10	157	14161
11	158	13045
12	159	12090
13	160	11296
14	161	10595
15	162	9975
16	162	9424
17	163	8926
18	164	8480
19	164	8079
20	165	7716
21	166	7385
22	166	7084
23	167	6806
24	168	6552
25	168	6322
26	169	6101
27	169	5894
28	170	5701
29	170	5522
30	171	5353
31	171	5195
32	172	5047
33	172	4908
34	173	4776
35	173	4651
36	174	4533
37	174	4426
38	175	4323
39	175	4222
40	176	4126
41	176	4034
42	177	3947
43	177	3863
44	178	3783
45	178	3706
46	179	3633
47	179	3563
48	180	3496
49	180	3431
50	181	3369
51	181	3309
52	181	3251
53	182	3196
54	182	3142
55	183	3091
56	183	3041
57	184	2993
58	184	2946
59	185	2901
60	185	2858
61	186	2816
62	186	2775
63	187	2736
64	187	2698
65	188	2661
66	188	2625
67	188	2590
68	189	2559
69	190	2527
70	190	2496
71	191	2465
72	191	2435
73	192	2406
74	192	2379
75	193	2352
76	193	2325
77	194	2298
78	194	2272
79	195	2247
80	195	2222
81	196	2197
82	196	2171
83	197	2148
84	197	2126
85	197	2104
86	198	2082
87	198	2061
88	199	2041
89	199	2021
90	200	2001
91	200	1981
92	201	1963
93	201	1944
94	202	1926
95	202	1908
96	203	1891
97	203	1874
98	204	1859
99	204	1844
100	205	1828
101	205	1812
102	206	1797
103	206	1781
104	207	1766
105	207	1752
106	208	1737
107	208	1723
108	209	1709
109	209	1695
110	210	1682
111	210	1668
112	210	1655
113	211	1643
114	211	1630
115	212	1618
116	212	1605
117	213	1593
118	213	1581
119	214	1570
120	214	1558
121	214	1546
122	215	1535
123	215	1524
124	216	1514
125	216	1503
126	217	1492
127	217	1482
128	218	1472
129	218	1462
130	219	1453
131	219	1444
132	220	1435
133	220	1426
134	221	1416
135	221	1407
136	222	1398
137	222	1390
138	223	1381
139	223	1372
140	223	1364
141	224	1354
142	224	1346
143	225	1338
144	225	1330
145	226	1322
146	226	1314
147	226	1306
148	227	1299
149	227	1291
150	228	1284
151	228	1276
152	229	1269
153	229	1262
154	230	1255
155	230	1248
156	231	1241
157	231	1234
158	232	1228
159	232	1222
160	233	1214
161	233	1208
162	234	1203
163	234	1197
164	235	1191
165	235	1185
166	236	1179
167	236	1173
168	237	1167
169	237	1161
170	238	1155
171	238	1149
172	239	1143
173	239	1137
174	240	1132
175	240	1126
176	241	1121
177	241	1115
178	242	1110
179	242	1104
180	242	1099
181	243	1094
182	243	1088
183	244	1083
184	244	1078
185	245	1073
186	245	1068
187	246	1063
188	246	1058
189	247	1054
190	247	1049
191	248	1045
192	248	1040
193	249	1037
194	250	1033
195	250	1029
196	251	1025
197	251	1020
198	252	1016
199	253	1012
200	253	1007
201	254	1003
202	254	999
203	255	995
204	255	991
205	256	987
206	256	983
207	257	979
208	257	975
209	258	971
210	258	967
211	259	964
212	260	960
213	260	957
214	261	954
215	262	951
216	262	948
217	263	945
218	264	941
219	264	939
220	265	936
221	266	932
222	266	929
223	267	925
224	267	922
225	268	918
226	268	915
227	269	911
228	269	908
229	270	904
230	270	901
231	271	898
232	271	894
233	272	891
234	272	888
235	273	885
236	273	881
237	274	878
238	274	875
239	275	872
240	276	869
241	276	866
242	277	863
243	277	859
244	278	856
245	278	853
246	279	852
247	280	849
248	280	846
249	281	844
250	281	841
251	282	838
252	283	836
253	283	833
254	284	830
255	284	827
256	285	824
257	285	822
258	286	819
259	286	816
260	287	813
261	287	810
262	288	807
263	288	805
264	289	802
265	290	800
266	290	797
267	291	794
268	291	792
269	291	789
270	292	786
271	292	783
272	293	781
273	293	778
274	294	777
275	295	774
276	295	772
277	296	769
278	296	766
279	297	764
280	297	761
281	298	759
282	298	757
283	299	754
284	299	752
285	300	749
286	300	747
287	301	744
288	301	742
